### The result of the verage over time 
### d tau = 0.1875
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  58.9947	-6.24371e-05	9.17075e-07	 (32 , 32 , 32) 
  59.1822	-6.25275e-05	9.18564e-07	 (32 , 32 , 32) 
  59.3697	-6.26175e-05	9.19956e-07	 (32 , 32 , 32) 
  59.5572	-6.27073e-05	9.21251e-07	 (32 , 32 , 32) 
  59.7447	-6.27968e-05	9.2245e-07	 (32 , 32 , 32) 
  59.9322	-6.28861e-05	9.23553e-07	 (32 , 32 , 32) 
  60.1197	-6.29752e-05	9.2456e-07	 (32 , 32 , 32) 
  60.3072	-6.30641e-05	9.25471e-07	 (32 , 32 , 32) 
  60.4947	-6.31529e-05	9.26286e-07	 (32 , 32 , 32) 
  60.6822	-6.32415e-05	9.27006e-07	 (32 , 32 , 32) 
  60.8697	-6.33299e-05	9.27631e-07	 (32 , 32 , 32) 
  61.0572	-6.34183e-05	9.28161e-07	 (32 , 32 , 32) 
  61.2447	-6.35066e-05	9.28597e-07	 (32 , 32 , 32) 
  61.4322	-6.35948e-05	9.2894e-07	 (32 , 32 , 32) 
  61.6197	-6.36829e-05	9.2919e-07	 (32 , 32 , 32) 
  61.8072	-6.37711e-05	9.29348e-07	 (32 , 32 , 32) 
  61.9947	-6.38593e-05	9.29414e-07	 (32 , 32 , 32) 
  62.1822	-6.39475e-05	9.29391e-07	 (32 , 32 , 32) 
  62.3697	-6.40357e-05	9.29278e-07	 (32 , 32 , 32) 
  62.5572	-6.41239e-05	9.29078e-07	 (32 , 32 , 32) 
  62.7447	-6.42122e-05	9.28792e-07	 (32 , 32 , 32) 
  62.9322	-6.43006e-05	9.28421e-07	 (32 , 32 , 32) 
  63.1197	-6.4389e-05	9.27968e-07	 (32 , 32 , 32) 
  63.3072	-6.44775e-05	9.27433e-07	 (32 , 32 , 32) 
  63.4947	-6.45661e-05	9.26819e-07	 (32 , 32 , 32) 
  63.6822	-6.46549e-05	9.26127e-07	 (32 , 32 , 32) 
  63.8697	-6.47437e-05	9.2536e-07	 (32 , 32 , 32) 
  64.0572	-6.48327e-05	9.2452e-07	 (32 , 32 , 32) 
  64.2447	-6.49217e-05	9.23609e-07	 (32 , 32 , 32) 
  64.4322	-6.5011e-05	9.2263e-07	 (32 , 32 , 32) 
  64.6197	-6.51003e-05	9.21585e-07	 (32 , 32 , 32) 
  64.8072	-6.51899e-05	9.20477e-07	 (32 , 32 , 32) 
  64.9947	-6.52796e-05	9.1931e-07	 (32 , 32 , 32) 
  65.1822	-6.53695e-05	9.18085e-07	 (32 , 32 , 32) 
  65.3697	-6.54595e-05	9.16808e-07	 (32 , 32 , 32) 
  65.5572	-6.55498e-05	9.1548e-07	 (32 , 32 , 32) 
  65.7447	      nan	      nan	 (32 , 32 , 32) 
  65.9322	      nan	      nan	 (32 , 32 , 32) 
  66.1197	      nan	      nan	 (32 , 32 , 32) 
  66.3072	      nan	      nan	 (32 , 32 , 32) 
  66.4947	      nan	      nan	 (32 , 32 , 32) 
  66.6822	      nan	      nan	 (32 , 32 , 32) 
  66.8697	      nan	      nan	 (32 , 32 , 32) 
  67.0572	      nan	      nan	 (32 , 32 , 32) 
  67.2447	      nan	      nan	 (32 , 32 , 32) 
  67.4322	      nan	      nan	 (32 , 32 , 32) 
  67.6197	      nan	      nan	 (32 , 32 , 32) 
  67.8072	      nan	      nan	 (32 , 32 , 32) 
  67.9947	      nan	      nan	 (32 , 32 , 32) 
  68.1822	      nan	      nan	 (32 , 32 , 32) 
  68.3697	      nan	      nan	 (32 , 32 , 32) 
  68.5572	      nan	      nan	 (32 , 32 , 32) 
  68.7447	      nan	      nan	 (32 , 32 , 32) 
  68.9322	      nan	      nan	 (32 , 32 , 32) 
  69.1197	      nan	      nan	 (32 , 32 , 32) 
  69.3072	      nan	      nan	 (32 , 32 , 32) 
  69.4947	      nan	      nan	 (32 , 32 , 32) 
  69.6822	      nan	      nan	 (32 , 32 , 32) 
  69.8697	      nan	      nan	 (32 , 32 , 32) 
  70.0572	      nan	      nan	 (32 , 32 , 32) 
  70.2447	      nan	      nan	 (32 , 32 , 32) 
  70.4322	      nan	      nan	 (32 , 32 , 32) 
  70.6197	      nan	      nan	 (32 , 32 , 32) 
  70.8072	      nan	      nan	 (32 , 32 , 32) 
  70.9947	      nan	      nan	 (32 , 32 , 32) 
  71.1822	      nan	      nan	 (32 , 32 , 32) 
  71.3697	      nan	      nan	 (32 , 32 , 32) 
  71.5572	      nan	      nan	 (32 , 32 , 32) 
  71.7447	      nan	      nan	 (32 , 32 , 32) 
  71.9322	      nan	      nan	 (32 , 32 , 32) 
  72.1197	      nan	      nan	 (32 , 32 , 32) 
  72.3072	      nan	      nan	 (32 , 32 , 32) 
  72.4947	      nan	      nan	 (32 , 32 , 32) 
  72.6822	      nan	      nan	 (32 , 32 , 32) 
  72.8697	      nan	      nan	 (32 , 32 , 32) 
  73.0572	      nan	      nan	 (32 , 32 , 32) 
  73.2447	      nan	      nan	 (32 , 32 , 32) 
  73.4322	      nan	      nan	 (32 , 32 , 32) 
  73.6197	      nan	      nan	 (32 , 32 , 32) 
  73.8072	      nan	      nan	 (32 , 32 , 32) 
  73.9947	      nan	      nan	 (32 , 32 , 32) 
  74.1822	      nan	      nan	 (32 , 32 , 32) 
  74.3697	      nan	      nan	 (32 , 32 , 32) 
  74.5572	      nan	      nan	 (32 , 32 , 32) 
  74.7447	      nan	      nan	 (32 , 32 , 32) 
  74.9322	      nan	      nan	 (32 , 32 , 32) 
  75.1197	      nan	      nan	 (32 , 32 , 32) 
  75.3072	      nan	      nan	 (32 , 32 , 32) 
  75.4947	      nan	      nan	 (32 , 32 , 32) 
  75.6822	      nan	      nan	 (32 , 32 , 32) 
  75.8697	      nan	      nan	 (32 , 32 , 32) 
  76.0572	      nan	      nan	 (32 , 32 , 32) 
  76.2447	      nan	      nan	 (32 , 32 , 32) 
  76.4322	      nan	      nan	 (32 , 32 , 32) 
  76.6197	      nan	      nan	 (32 , 32 , 32) 
  76.8072	      nan	      nan	 (32 , 32 , 32) 
  76.9947	      nan	      nan	 (32 , 32 , 32) 
  77.1822	      nan	      nan	 (32 , 32 , 32) 
  77.3697	      nan	      nan	 (32 , 32 , 32) 
  77.5572	      nan	      nan	 (32 , 32 , 32) 
  77.7447	      nan	      nan	 (32 , 32 , 32) 
  77.9322	      nan	      nan	 (32 , 32 , 32) 
  78.1197	      nan	      nan	 (32 , 32 , 32) 
  78.3072	      nan	      nan	 (32 , 32 , 32) 
  78.4947	      nan	      nan	 (32 , 32 , 32) 
  78.6822	      nan	      nan	 (32 , 32 , 32) 
  78.8697	      nan	      nan	 (32 , 32 , 32) 
  79.0572	      nan	      nan	 (32 , 32 , 32) 
  79.2447	      nan	      nan	 (32 , 32 , 32) 
  79.4322	      nan	      nan	 (32 , 32 , 32) 
  79.6197	      nan	      nan	 (32 , 32 , 32) 
  79.8072	      nan	      nan	 (32 , 32 , 32) 
  79.9947	      nan	      nan	 (32 , 32 , 32) 
  80.1822	      nan	      nan	 (32 , 32 , 32) 
  80.3697	      nan	      nan	 (32 , 32 , 32) 
  80.5572	      nan	      nan	 (32 , 32 , 32) 
  80.7447	      nan	      nan	 (32 , 32 , 32) 
  80.9322	      nan	      nan	 (32 , 32 , 32) 
  81.1197	      nan	      nan	 (32 , 32 , 32) 
  81.3072	      nan	      nan	 (32 , 32 , 32) 
  81.4947	      nan	      nan	 (32 , 32 , 32) 
  81.6822	      nan	      nan	 (32 , 32 , 32) 
  81.8697	      nan	      nan	 (32 , 32 , 32) 
  82.0572	      nan	      nan	 (32 , 32 , 32) 
  82.2447	      nan	      nan	 (32 , 32 , 32) 
  82.4322	      nan	      nan	 (32 , 32 , 32) 
  82.6197	      nan	      nan	 (32 , 32 , 32) 
  82.8072	      nan	      nan	 (32 , 32 , 32) 
